Designator,Mid X,Mid Y,Layer,Rotation
C1,47.55, 8.13,Top,0.0
C2,47.14, 9.68,Top,0.0
C8,42.80,-9.14,Top,270.0
C9,42.01, 7.72,Top,270.0
C12,15.88,-9.40,Top,180.0
C13,15.88,-7.37,Top,180.0
C14,15.88,-5.33,Top,180.0
C15,15.88,-3.30,Top,180.0
C16,28.07,-7.62,Top,0.0
C17,21.49,-3.84,Top,180.0
C18,28.07,-9.65,Top,90.0
C19,28.35,-0.79,Top,90.0
C20,30.43,-0.79,Top,90.0
D1,25.27, 2.67,Top,180.0
D2,22.35, 2.67,Top,0.0
D3,29.13,-5.41,Top,0.0
D4,19.43, 2.67,Top,0.0
FLASH,31.88,10.67,Top,0.0
IC1,22.30,-7.32,Top,270.0
IC2,44.65, 0.00,Top,270.0
J1,23.75, 4.80,Top,180.0
J2,33.91,-6.60,Top,270.0
J3,33.91, 1.40,Top,270.0
L1,24.60,-2.83,Top,90.0
LED,45.34,-9.14,Top,180.0
Q1,11.33, 7.72,Top,270.0
Q2, 8.10, 8.59,Top,0.0
Q3,15.37, 2.03,Top,0.0
Q5,20.07,-0.30,Top,270.0
Q10, 9.40, 2.54,Top,90.0
Q11, 9.40,-2.54,Top,90.0
Q12, 9.40,-7.62,Top,90.0
R1,14.63, 4.34,Top,270.0
R2,11.30, 9.47,Top,0.0
R3,11.07, 5.97,Top,180.0
R4,43.05, 7.72,Top,270.0
R5,35.69, 6.73,Top,270.0
R6,34.67, 6.73,Top,270.0
R7,28.47, 3.10,Top,180.0
R8,17.78, 5.36,Top,270.0
R12,37.72, 6.73,Top,270.0
R17,36.70, 6.73,Top,270.0
R18,17.27, 2.03,Top,270.0
R22,19.28,-10.11,Top,0.0
R27,29.08,-9.65,Top,270.0
R28,27.05,-9.65,Top,90.0
RESET,15.62,10.67,Top,0.0
D5,21.67,-2.34,Bottom,180.0
D6,21.69,-6.20,Bottom,180.0
D7,21.69,-8.84,Bottom,180.0
R9,21.69,-3.66,Bottom,180.0
R10,12.07, 4.22,Bottom,270.0
R11,21.69,-4.88,Bottom,180.0
R13,10.92,-1.22,Bottom,0.0
R14,21.69,-7.52,Bottom,180.0
R15,10.54,-6.27,Bottom,0.0
